analysis,anchor,pair,layer,n_examples,n_families,balanced_accuracy,auroc,average_precision,f1,precision,recall,confusion_matrix,baseline_balanced_accuracy
overall_harmful,end_of_evidence_block,all_conditions_pooled,35,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,0,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,1,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,2,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,3,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,4,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,5,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,6,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,7,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,8,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,9,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,10,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,11,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,12,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,13,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,14,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,15,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,16,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,17,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,18,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,19,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,20,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,21,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,22,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,23,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,24,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,25,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,26,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,27,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,28,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,29,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,30,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,31,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,32,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,33,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,34,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,35,36,36,0.500000,0.500000,0.333333,0.500000,0.333333,1.000000,tn=0 fp=24 fn=0 tp=12,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,0,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,1,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,2,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,3,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,4,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,5,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,6,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,7,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,8,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,9,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,10,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,11,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,12,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,13,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,14,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,15,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,16,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,17,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,18,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,19,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,20,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,21,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,22,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,23,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,24,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,25,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,26,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,27,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,28,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,29,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,30,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,31,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,32,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,33,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,34,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,35,36,36,0.500000,0.500000,0.722222,0.838710,0.722222,1.000000,tn=0 fp=10 fn=0 tp=26,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,0,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,1,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,2,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,3,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,4,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,5,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,6,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,7,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,8,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,9,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,10,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,11,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,12,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,13,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,14,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,15,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,16,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,17,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,18,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,19,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,20,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,21,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,22,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,23,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,24,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,25,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,26,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,27,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,28,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,29,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,30,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,31,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,32,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,33,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,34,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,35,36,36,0.500000,0.500000,0.861111,0.925373,0.861111,1.000000,tn=0 fp=5 fn=0 tp=31,0.500000
cross_condition,end_of_evidence_block,evidence_false_belief_pressure_to_evidence_emotional_pressure,0,72,36,0.500000,0.500000,0.527778,0.690909,0.527778,1.000000,tn=0 fp=34 fn=0 tp=38,0.500000
cross_condition,end_of_evidence_block,evidence_false_belief_pressure_to_evidence_emotional_pressure,1,72,36,0.500000,0.500000,0.527778,0.690909,0.527778,1.000000,tn=0 fp=34 fn=0 tp=38,0.500000
cross_condition,end_of_evidence_block,evidence_false_belief_pressure_to_evidence_emotional_pressure,2,72,36,0.500000,0.500000,0.527778,0.690909,0.527778,1.000000,tn=0 fp=34 fn=0 tp=38,0.500000
cross_condition,end_of_evidence_block,evidence_false_belief_pressure_to_evidence_emotional_pressure,3,72,36,0.500000,0.500000,0.527778,0.690909,0.527778,1.000000,tn=0 fp=34 fn=0 tp=38,0.500000
cross_condition,end_of_evidence_block,evidence_false_belief_pressure_to_evidence_emotional_pressure,4,72,36,0.500000,0.500000,0.527778,0.690909,0.527778,1.000000,tn=0 fp=34 fn=0 tp=38,0.500000
cross_condition,end_of_evidence_block,evidence_false_belief_pressure_to_evidence_emotional_pressure,5,72,36,0.500000,0.500000,0.527778,0.690909,0.527778,1.000000,tn=0 fp=34 fn=0 tp=38,0.500000
cross_condition,end_of_evidence_block,evidence_false_belief_pressure_to_evidence_emotional_pressure,6,72,36,0.500000,0.500000,0.527778,0.690909,0.527778,1.000000,tn=0 fp=34 fn=0 tp=38,0.500000
cross_condition,end_of_evidence_block,evidence_false_belief_pressure_to_evidence_emotional_pressure,7,72,36,0.500000,0.500000,0.527778,0.690909,0.527778,1.000000,tn=0 fp=34 fn=0 tp=38,0.500000
cross_condition,end_of_evidence_block,evidence_false_belief_pressure_to_evidence_emotional_pressure,8,72,36,0.500000,0.500000,0.527778,0.690909,0.527778,1.000000,tn=0 fp=34 fn=0 tp=38,0.500000
cross_condition,end_of_evidence_block,evidence_false_belief_pressure_to_evidence_emotional_pressure,9,72,36,0.500000,0.500000,0.527778,0.690909,0.527778,1.000000,tn=0 fp=34 fn=0 tp=38,0.500000
