label_scheme,source_condition,target_condition,criterion,best_layer,best_value
strict,evidence_false_belief_pressure,evidence_false_belief_pressure,auroc,23,1.000000
strict,evidence_false_belief_pressure,evidence_false_belief_pressure,average_precision,23,1.000000
strict,evidence_false_belief_pressure,evidence_false_belief_pressure,f1,34,1.000000
strict,evidence_false_belief_pressure,evidence_emotional_pressure,balanced_accuracy,33,1.000000
strict,evidence_false_belief_pressure,evidence_emotional_pressure,auroc,24,1.000000
strict,evidence_false_belief_pressure,evidence_emotional_pressure,average_precision,24,1.000000
strict,evidence_false_belief_pressure,evidence_emotional_pressure,f1,33,1.000000
strict,evidence_false_belief_pressure,closed_context_false_belief_pressure,balanced_accuracy,18,0.863636
strict,evidence_false_belief_pressure,closed_context_false_belief_pressure,auroc,21,1.000000
strict,evidence_false_belief_pressure,closed_context_false_belief_pressure,average_precision,21,1.000000
strict,evidence_false_belief_pressure,closed_context_false_belief_pressure,f1,18,0.842105
strict,evidence_emotional_pressure,evidence_false_belief_pressure,balanced_accuracy,32,1.000000
strict,evidence_emotional_pressure,evidence_false_belief_pressure,auroc,21,1.000000
strict,evidence_emotional_pressure,evidence_false_belief_pressure,average_precision,21,1.000000
strict,evidence_emotional_pressure,evidence_false_belief_pressure,f1,32,1.000000
strict,evidence_emotional_pressure,evidence_emotional_pressure,balanced_accuracy,11,1.000000
strict,evidence_emotional_pressure,evidence_emotional_pressure,auroc,11,1.000000
strict,evidence_emotional_pressure,evidence_emotional_pressure,average_precision,11,1.000000
strict,evidence_emotional_pressure,evidence_emotional_pressure,f1,11,1.000000
strict,evidence_emotional_pressure,closed_context_false_belief_pressure,balanced_accuracy,21,0.909091
strict,evidence_emotional_pressure,closed_context_false_belief_pressure,auroc,21,1.000000
strict,evidence_emotional_pressure,closed_context_false_belief_pressure,average_precision,21,1.000000
strict,evidence_emotional_pressure,closed_context_false_belief_pressure,f1,22,0.909091
strict,closed_context_false_belief_pressure,evidence_false_belief_pressure,balanced_accuracy,23,0.875000
strict,closed_context_false_belief_pressure,evidence_false_belief_pressure,auroc,21,1.000000
strict,closed_context_false_belief_pressure,evidence_false_belief_pressure,average_precision,21,1.000000
strict,closed_context_false_belief_pressure,evidence_false_belief_pressure,f1,13,0.666667
strict,closed_context_false_belief_pressure,evidence_emotional_pressure,balanced_accuracy,22,0.900000
strict,closed_context_false_belief_pressure,evidence_emotional_pressure,auroc,30,1.000000
strict,closed_context_false_belief_pressure,evidence_emotional_pressure,average_precision,30,1.000000
strict,closed_context_false_belief_pressure,evidence_emotional_pressure,f1,22,0.900000
strict,closed_context_false_belief_pressure,closed_context_false_belief_pressure,balanced_accuracy,26,1.000000
strict,closed_context_false_belief_pressure,closed_context_false_belief_pressure,auroc,21,1.000000
strict,closed_context_false_belief_pressure,closed_context_false_belief_pressure,average_precision,21,1.000000
strict,closed_context_false_belief_pressure,closed_context_false_belief_pressure,f1,26,1.000000
