analysis,anchor,pair,layer,n_examples,n_families,balanced_accuracy,baseline_balanced_accuracy,auroc,average_precision,f1,precision,recall,confusion_matrix_counts
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,11,36,36,0.683871,0.500000,0.412903,0.303995,0.500000,0.666667,0.400000,tn=30 fp=1 fn=3 tp=2
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,12,36,36,0.467742,0.500000,0.019355,0.087449,0.000000,0.000000,0.000000,tn=29 fp=2 fn=5 tp=0
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,13,36,36,0.467742,0.500000,0.219355,0.133391,0.000000,0.000000,0.000000,tn=29 fp=2 fn=5 tp=0
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,14,36,36,0.467742,0.500000,0.058065,0.090220,0.000000,0.000000,0.000000,tn=29 fp=2 fn=5 tp=0
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,15,36,36,0.483871,0.500000,0.212903,0.117409,0.000000,0.000000,0.000000,tn=30 fp=1 fn=5 tp=0
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,16,36,36,0.500000,0.500000,0.270968,0.139011,0.000000,0.000000,0.000000,tn=31 fp=0 fn=5 tp=0
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,17,36,36,0.651613,0.500000,0.496774,0.282348,0.400000,0.400000,0.400000,tn=28 fp=3 fn=3 tp=2
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,18,36,36,0.567742,0.500000,0.445161,0.275013,0.250000,0.333333,0.200000,tn=29 fp=2 fn=4 tp=1
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,19,36,36,0.767742,0.500000,0.645161,0.577917,0.600000,0.600000,0.600000,tn=29 fp=2 fn=2 tp=3
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,20,36,36,0.683871,0.500000,0.651613,0.578925,0.500000,0.666667,0.400000,tn=30 fp=1 fn=3 tp=2
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,21,36,36,0.883871,0.500000,0.967742,0.786190,0.800000,0.800000,0.800000,tn=30 fp=1 fn=1 tp=4
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,22,36,36,0.883871,0.500000,0.812903,0.675591,0.800000,0.800000,0.800000,tn=30 fp=1 fn=1 tp=4
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,23,36,36,0.651613,0.500000,0.722581,0.358571,0.400000,0.400000,0.400000,tn=28 fp=3 fn=3 tp=2
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,24,36,36,0.551613,0.500000,0.587097,0.301970,0.222222,0.250000,0.200000,tn=28 fp=3 fn=4 tp=1
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,25,36,36,0.651613,0.500000,0.593548,0.286970,0.400000,0.400000,0.400000,tn=28 fp=3 fn=3 tp=2
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,26,36,36,0.451613,0.500000,0.600000,0.287917,0.000000,0.000000,0.000000,tn=28 fp=3 fn=5 tp=0
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,27,36,36,0.551613,0.500000,0.567742,0.257684,0.222222,0.250000,0.200000,tn=28 fp=3 fn=4 tp=1
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,28,36,36,0.451613,0.500000,0.548387,0.236045,0.000000,0.000000,0.000000,tn=28 fp=3 fn=5 tp=0
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,29,36,36,0.535484,0.500000,0.696774,0.300444,0.200000,0.200000,0.200000,tn=27 fp=4 fn=4 tp=1
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,30,36,36,0.651613,0.500000,0.729032,0.359412,0.400000,0.400000,0.400000,tn=28 fp=3 fn=3 tp=2
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,31,36,36,0.651613,0.500000,0.716129,0.339412,0.400000,0.400000,0.400000,tn=28 fp=3 fn=3 tp=2
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,32,36,36,0.551613,0.500000,0.709677,0.332139,0.222222,0.250000,0.200000,tn=28 fp=3 fn=4 tp=1
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,33,36,36,0.535484,0.500000,0.535484,0.236147,0.200000,0.200000,0.200000,tn=27 fp=4 fn=4 tp=1
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,34,36,36,0.535484,0.500000,0.651613,0.256926,0.200000,0.200000,0.200000,tn=27 fp=4 fn=4 tp=1
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,35,36,36,0.551613,0.500000,0.703226,0.322460,0.222222,0.250000,0.200000,tn=28 fp=3 fn=4 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,0,36,36,0.500000,0.500000,0.500000,0.055556,0.105263,0.055556,1.000000,tn=0 fp=34 fn=0 tp=2
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,1,36,36,0.500000,0.500000,0.529412,0.280303,0.000000,0.000000,0.000000,tn=34 fp=0 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,2,36,36,0.455882,0.500000,0.073529,0.045037,0.000000,0.000000,0.000000,tn=31 fp=3 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,3,36,36,0.470588,0.500000,0.897059,0.291667,0.000000,0.000000,0.000000,tn=32 fp=2 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,4,36,36,0.455882,0.500000,0.455882,0.128571,0.000000,0.000000,0.000000,tn=31 fp=3 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,5,36,36,0.691176,0.500000,0.470588,0.129412,0.285714,0.200000,0.500000,tn=30 fp=4 fn=1 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,6,36,36,0.455882,0.500000,0.132353,0.047544,0.000000,0.000000,0.000000,tn=31 fp=3 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,7,36,36,0.691176,0.500000,0.897059,0.291667,0.285714,0.200000,0.500000,tn=30 fp=4 fn=1 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,8,36,36,0.485294,0.500000,0.044118,0.043403,0.000000,0.000000,0.000000,tn=33 fp=1 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,9,36,36,0.470588,0.500000,0.470588,0.129412,0.000000,0.000000,0.000000,tn=32 fp=2 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,10,36,36,0.485294,0.500000,0.529412,0.280303,0.000000,0.000000,0.000000,tn=33 fp=1 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,11,36,36,0.735294,0.500000,0.485294,0.277778,0.500000,0.500000,0.500000,tn=33 fp=1 fn=1 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,12,36,36,0.485294,0.500000,0.014706,0.042484,0.000000,0.000000,0.000000,tn=33 fp=1 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,13,36,36,0.485294,0.500000,0.500000,0.196078,0.000000,0.000000,0.000000,tn=33 fp=1 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,14,36,36,0.485294,0.500000,0.058824,0.043907,0.000000,0.000000,0.000000,tn=33 fp=1 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,15,36,36,0.485294,0.500000,0.044118,0.043723,0.000000,0.000000,0.000000,tn=33 fp=1 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,16,36,36,0.500000,0.500000,0.102941,0.046078,0.000000,0.000000,0.000000,tn=34 fp=0 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,17,36,36,0.705882,0.500000,0.602941,0.285714,0.333333,0.250000,0.500000,tn=31 fp=3 fn=1 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,18,36,36,0.720588,0.500000,0.485294,0.277778,0.400000,0.333333,0.500000,tn=32 fp=2 fn=1 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,19,36,36,0.691176,0.500000,0.558824,0.531250,0.285714,0.200000,0.500000,tn=30 fp=4 fn=1 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,20,36,36,0.720588,0.500000,0.573529,0.532258,0.400000,0.333333,0.500000,tn=32 fp=2 fn=1 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,21,36,36,0.705882,0.500000,0.941176,0.666667,0.333333,0.250000,0.500000,tn=31 fp=3 fn=1 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,22,36,36,0.705882,0.500000,0.617647,0.535714,0.333333,0.250000,0.500000,tn=31 fp=3 fn=1 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,23,36,36,0.735294,0.500000,0.941176,0.450000,0.500000,0.500000,0.500000,tn=33 fp=1 fn=1 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,24,36,36,0.485294,0.500000,0.514706,0.196970,0.000000,0.000000,0.000000,tn=33 fp=1 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,25,36,36,0.735294,0.500000,0.573529,0.283333,0.500000,0.500000,0.500000,tn=33 fp=1 fn=1 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,26,36,36,0.485294,0.500000,0.970588,0.583333,0.000000,0.000000,0.000000,tn=33 fp=1 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,27,36,36,0.735294,0.500000,0.955882,0.500000,0.500000,0.500000,0.500000,tn=33 fp=1 fn=1 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,28,36,36,0.485294,0.500000,0.941176,0.416667,0.000000,0.000000,0.000000,tn=33 fp=1 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,29,36,36,0.455882,0.500000,0.470588,0.129412,0.000000,0.000000,0.000000,tn=31 fp=3 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,30,36,36,0.470588,0.500000,0.470588,0.129412,0.000000,0.000000,0.000000,tn=32 fp=2 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,31,36,36,0.470588,0.500000,0.441176,0.100840,0.000000,0.000000,0.000000,tn=32 fp=2 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,32,36,36,0.470588,0.500000,0.426471,0.091912,0.000000,0.000000,0.000000,tn=32 fp=2 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,33,36,36,0.455882,0.500000,0.073529,0.044700,0.000000,0.000000,0.000000,tn=31 fp=3 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,34,36,36,0.455882,0.500000,0.397059,0.084127,0.000000,0.000000,0.000000,tn=31 fp=3 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,35,36,36,0.470588,0.500000,0.485294,0.195238,0.000000,0.000000,0.000000,tn=32 fp=2 fn=2 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,0,36,36,0.500000,0.500000,0.500000,0.083333,0.153846,0.083333,1.000000,tn=0 fp=33 fn=0 tp=3
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,1,36,36,0.500000,0.500000,0.676768,0.310036,0.000000,0.000000,0.000000,tn=33 fp=0 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,2,36,36,0.454545,0.500000,0.414141,0.138393,0.000000,0.000000,0.000000,tn=30 fp=3 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,3,36,36,0.454545,0.500000,0.606061,0.192208,0.000000,0.000000,0.000000,tn=30 fp=3 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,4,36,36,0.424242,0.500000,0.303030,0.096392,0.000000,0.000000,0.000000,tn=28 fp=5 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,5,36,36,0.590909,0.500000,0.595960,0.171991,0.222222,0.166667,0.333333,tn=28 fp=5 fn=2 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,6,36,36,0.424242,0.500000,0.080808,0.060998,0.000000,0.000000,0.000000,tn=28 fp=5 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,7,36,36,0.590909,0.500000,0.797980,0.224242,0.222222,0.166667,0.333333,tn=28 fp=5 fn=2 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,8,36,36,0.424242,0.500000,0.070707,0.059722,0.000000,0.000000,0.000000,tn=28 fp=5 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,9,36,36,0.454545,0.500000,0.272727,0.085216,0.000000,0.000000,0.000000,tn=30 fp=3 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,10,36,36,0.439394,0.500000,0.353535,0.117803,0.000000,0.000000,0.000000,tn=29 fp=4 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,11,36,36,0.621212,0.500000,0.343434,0.214646,0.285714,0.250000,0.333333,tn=30 fp=3 fn=2 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,12,36,36,0.454545,0.500000,0.060606,0.058880,0.000000,0.000000,0.000000,tn=30 fp=3 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,13,36,36,0.454545,0.500000,0.626263,0.246078,0.000000,0.000000,0.000000,tn=30 fp=3 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,14,36,36,0.454545,0.500000,0.323232,0.104839,0.000000,0.000000,0.000000,tn=30 fp=3 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,15,36,36,0.469697,0.500000,0.323232,0.115440,0.000000,0.000000,0.000000,tn=31 fp=2 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,16,36,36,0.484848,0.500000,0.070707,0.059674,0.000000,0.000000,0.000000,tn=32 fp=1 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,17,36,36,0.606061,0.500000,0.404040,0.219136,0.250000,0.200000,0.333333,tn=29 fp=4 fn=2 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,18,36,36,0.636364,0.500000,0.353535,0.215278,0.333333,0.333333,0.333333,tn=31 fp=2 fn=2 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,19,36,36,0.606061,0.500000,0.414141,0.386089,0.250000,0.200000,0.333333,tn=29 fp=4 fn=2 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,20,36,36,0.636364,0.500000,0.434343,0.387572,0.333333,0.333333,0.333333,tn=31 fp=2 fn=2 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,21,36,36,0.606061,0.500000,0.666667,0.460829,0.250000,0.200000,0.333333,tn=29 fp=4 fn=2 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,22,36,36,0.606061,0.500000,0.434343,0.387814,0.250000,0.200000,0.333333,tn=29 fp=4 fn=2 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,23,36,36,0.606061,0.500000,0.575758,0.170153,0.250000,0.200000,0.333333,tn=29 fp=4 fn=2 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,24,36,36,0.439394,0.500000,0.363636,0.108081,0.000000,0.000000,0.000000,tn=29 fp=4 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,25,36,36,0.606061,0.500000,0.383838,0.119958,0.250000,0.200000,0.333333,tn=29 fp=4 fn=2 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,26,36,36,0.454545,0.500000,0.595960,0.222222,0.000000,0.000000,0.000000,tn=30 fp=3 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,27,36,36,0.621212,0.500000,0.595960,0.222222,0.285714,0.250000,0.333333,tn=30 fp=3 fn=2 tp=1
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,28,36,36,0.454545,0.500000,0.585859,0.205556,0.000000,0.000000,0.000000,tn=30 fp=3 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,29,36,36,0.424242,0.500000,0.282828,0.089646,0.000000,0.000000,0.000000,tn=28 fp=5 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,30,36,36,0.424242,0.500000,0.282828,0.089646,0.000000,0.000000,0.000000,tn=28 fp=5 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,31,36,36,0.424242,0.500000,0.252525,0.080719,0.000000,0.000000,0.000000,tn=28 fp=5 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,32,36,36,0.439394,0.500000,0.242424,0.077689,0.000000,0.000000,0.000000,tn=29 fp=4 fn=3 tp=0
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,33,36,36,0.424242,0.500000,0.020202,0.057242,0.000000,0.000000,0.000000,tn=28 fp=5 fn=3 tp=0
